id,id_anfitrion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,texto_banos,noches_minimas,noches_maximas,min_noches_maximas,max_noches_maximas,precio,disp_30d,disp_60d,disp_90d,disp_365d,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,antiguedad_host,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,listados_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia,amenidades,tasa_respuesta_host_rango_15,tasa_aceptacion_host_rango_15,total_listados_host_rango_15,precio_rango_15,max_noches_maximas_rango_15,disp_365d_rango_15,num_resenas_rango_15,calif_total_rango_15,calif_valor_rango_15,resenas_por_mes_rango_15
40669,175412,,Ward C (councilmember Richard Boggiano),40.73724,-74.0531,Private room in condo,Private room,2,1.0,1.0,1.0,1 shared bath,5,365,365.0,365.0,150.0,18,48,78,180,22,3,0,2010-09-23,2024-11-01,0.12,4.95,4.95,4.95,5.0,4.86,4.9,4.95,f,f,2010-07-20,within a day,1.0,0.83,t,f,1.0,4.0,0,1,0,Exempt,"[""Long term stays allowed"", ""TV with standard cable"", ""Oven"", ""Dishes and silverware"", ""Iron"", ""Crib"", ""Washer"", ""Paid parking on premises"", ""Children\u2019s dinnerware"", ""Shampoo"", ""Coffee maker"", ""Breakfast"", ""Dishwasher"", ""Hangers"", ""Free street parking"", ""Gym"", ""Essentials"", ""Air conditioning"", ""Smoke alarm"", ""Kitchen"", ""Microwave"", ""High chair"", ""First aid kit"", ""Heating"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Dedicated workspace"", ""Host greets you"", ""Game console"", ""Fire extinguisher"", ""Changing table"", ""Refrigerator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Hot water"", ""Dryer"", ""Stove"", ""Ethernet connection"", ""Pocket wifi"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Single level home"", ""Wifi""]","[0.933, 1.0)","[0.83, 0.841)","[1.0, 4.933)","[133.2, 167.6)","[302.2, 377.0)","[170.333, 194.667)","[15.467, 23.2)","[4.733, 5.0)","[4.733, 5.0)","[0.01, 0.425)"
215768,846837,,Ward F (councilmember Jermaine D. Robinson),40.71438,-74.0581,Entire home,Entire home/apt,4,1.0,1.0,2.0,1 bath,4,365,365.0,365.0,183.0,13,40,60,328,10,25,1,2011-09-13,2025-06-09,1.26,4.81,4.8,4.91,4.87,4.89,4.39,4.8,f,t,2011-07-20,within an hour,1.0,0.97,t,t,2.0,4.0,2,0,0,STR-006450-2024,"[""Stove"", ""Shared patio or balcony"", ""Exterior security cameras on property"", ""Shampoo"", ""Dishes and silverware"", ""Freezer"", ""Outdoor furniture"", ""Hot water kettle"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Host greets you"", ""Kitchen"", ""Free street parking"", ""Private entrance"", ""Dedicated workspace"", ""Backyard"", ""Blender"", ""Microwave"", ""HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"", ""Heating"", ""Long term stays allowed"", ""Dishwasher"", ""Hair dryer"", ""Iron"", ""Toaster"", ""Dining table"", ""Hangers"", ""Extra pillows and blankets"", ""Coffee maker"", ""Dryer"", ""Free washer \u2013 In building"", ""Wine glasses"", ""Smoke alarm"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Essentials"", ""Bed linens"", ""Fire extinguisher"", ""Hot water"", ""Oven"", ""Wifi"", ""Air conditioning"", ""Coffee""]","[0.933, 1.0)","[0.966, 0.977)","[1.0, 4.933)","[167.6, 202.0)","[302.2, 377.0)","[316.333, 340.667)","[7.733, 15.467)","[4.733, 5.0)","[4.733, 5.0)","[1.254, 1.669)"
254245,846837,,Ward F (councilmember Jermaine D. Robinson),40.71162,-74.06179,Entire home,Entire home/apt,3,1.0,1.0,1.0,1 bath,4,365,365.0,365.0,158.0,17,47,77,348,10,15,2,2011-11-21,2025-06-10,0.92,4.74,4.78,4.9,4.89,4.83,4.4,4.72,f,t,2011-07-20,within an hour,1.0,0.97,t,t,2.0,4.0,2,0,0,STR-006336-2024,"[""Stove"", ""Shared patio or balcony"", ""Bathtub"", ""Exterior security cameras on property"", ""Shampoo"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Freezer"", ""Conditioner"", ""Hot water kettle"", ""Refrigerator"", ""Clothing storage: closet and dresser"", ""Luggage dropoff allowed"", ""Host greets you"", ""Kitchen"", ""Free street parking"", ""Dedicated workspace"", ""Blender"", ""Microwave"", ""HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"", ""Heating"", ""Long term stays allowed"", ""Dishwasher"", ""Hair dryer"", ""Iron"", ""Toaster"", ""Dining table"", ""Hangers"", ""Extra pillows and blankets"", ""Coffee maker"", ""Dryer"", ""Wine glasses"", ""Ceiling fan"", ""Smoke alarm"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Essentials"", ""Bed linens"", ""Fire extinguisher"", ""Cleaning products"", ""Hot water"", ""Oven"", ""Wifi"", ""Air conditioning"", ""Coffee""]","[0.933, 1.0)","[0.966, 0.977)","[1.0, 4.933)","[133.2, 167.6)","[302.2, 377.0)","[340.667, 365.0)","[7.733, 15.467)","[4.733, 5.0)","[4.467, 4.733)","[0.839, 1.254)"
269266,1410590,,Ward F (councilmember Jermaine D. Robinson),40.71135,-74.06374,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,1 bath,2,365,1125.0,1125.0,126.0,1,10,33,278,10,45,3,2011-11-25,2025-06-09,2.92,4.38,4.64,4.55,4.72,4.67,3.89,4.46,t,f,2011-11-15,within an hour,1.0,1.0,t,t,10.0,18.0,1,9,0,STR-001785-2025,"[""55 inch HDTV"", ""Stove"", ""Bathtub"", ""Room-darkening shades"", ""Shampoo"", ""Dishes and silverware"", ""Freezer"", ""Hot water kettle"", ""Refrigerator"", ""Clothing storage: closet and dresser"", ""Luggage dropoff allowed"", ""Baby safety gates"", ""Kitchen"", ""Free street parking"", ""Private entrance"", ""Dedicated workspace"", ""Microwave"", ""Safe"", ""Heating"", ""Long term stays allowed"", ""Dishwasher"", ""Hair dryer"", ""Iron"", ""Toaster"", ""Hangers"", ""Extra pillows and blankets"", ""Coffee maker"", ""Lockbox"", ""Board games"", ""Wine glasses"", ""Ceiling fan"", ""Smoke alarm"", ""First aid kit"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Essentials"", ""Laundromat nearby"", ""Bed linens"", ""Portable fans"", ""Fire extinguisher"", ""Books and reading material"", ""Cleaning products"", ""Hot water"", ""Oven"", ""Wifi"", ""Air conditioning"", ""Self check-in""]","[0.933, 1.0)","[0.989, 1.0)","[16.733, 20.667)","[98.8, 133.2)","[1050.2, 1125.0)","[267.667, 292.0)","[7.733, 15.467)","[4.2, 4.467)","[4.2, 4.467)","[2.913, 3.327)"
270245,1410590,,Ward F (councilmember Jermaine D. Robinson),40.7134,-74.06489,Private room in townhouse,Private room,1,1.0,1.0,1.0,1 private bath,3,365,1125.0,1125.0,60.0,7,22,38,293,10,25,2,2011-12-17,2025-05-30,2.08,4.58,4.7,4.72,4.74,4.72,4.04,4.59,t,f,2011-11-15,within an hour,1.0,1.0,t,t,10.0,18.0,1,9,0,STR-001785-2025,"[""Freezer"", ""Long term stays allowed"", ""Oven"", ""Dishes and silverware"", ""Iron"", ""Private entrance"", ""Mosquito net"", ""Gas stove"", ""Wine glasses"", ""Clothing storage: closet"", ""Lockbox"", ""Shampoo"", ""Dishwasher"", ""Hangers"", ""Free street parking"", ""Essentials"", ""Bed linens"", ""Air conditioning"", ""Smoke alarm"", ""Kitchen"", ""Microwave"", ""Books and reading material"", ""Lock on bedroom door"", ""First aid kit"", ""Heating"", ""Hair dryer"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Hot water kettle"", ""Refrigerator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Safe"", ""Toaster"", ""Hot water"", ""Self check-in"", ""Coffee maker: drip coffee maker"", ""Carbon monoxide alarm"", ""Dining table"", ""Wifi"", ""Cleaning products""]","[0.933, 1.0)","[0.989, 1.0)","[16.733, 20.667)","[30.0, 64.4)","[1050.2, 1125.0)","[292.0, 316.333)","[7.733, 15.467)","[4.467, 4.733)","[4.467, 4.733)","[1.669, 2.083)"
271255,1410590,,Ward F (councilmember Jermaine D. Robinson),40.71161,-74.06327,Private room in townhouse,Private room,5,1.0,1.0,3.0,1 private bath,2,365,1125.0,1125.0,86.0,2,12,18,232,10,26,1,2012-04-16,2025-06-04,2.5,4.45,4.6,4.69,4.71,4.62,3.9,4.43,t,f,2011-11-15,within an hour,1.0,1.0,t,t,10.0,18.0,1,9,0,STR-001786-2025,"[""Freezer"", ""Long term stays allowed"", ""Oven"", ""Dishes and silverware"", ""Iron"", ""Private entrance"", ""Mosquito net"", ""Gas stove"", ""Wine glasses"", ""Lockbox"", ""Shampoo"", ""Coffee maker"", ""Dishwasher"", ""Hangers"", ""Board games"", ""Free street parking"", ""Essentials"", ""Bed linens"", ""Air conditioning"", ""Smoke alarm"", ""Kitchen"", ""Microwave"", ""Books and reading material"", ""Lock on bedroom door"", ""First aid kit"", ""Heating"", ""Hair dryer"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Clothing storage: wardrobe and dresser"", ""Hot water kettle"", ""Refrigerator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Safe"", ""Toaster"", ""Hot water"", ""Self check-in"", ""Carbon monoxide alarm"", ""Dining table"", ""Wifi"", ""Cleaning products""]","[0.933, 1.0)","[0.989, 1.0)","[16.733, 20.667)","[64.4, 98.8)","[1050.2, 1125.0)","[219.0, 243.333)","[7.733, 15.467)","[4.2, 4.467)","[4.2, 4.467)","[2.498, 2.913)"
675483,2259684,,Ward E (councilmember James Solomon),40.72315,-74.04179,Private room in townhouse,Private room,2,1.0,1.0,1.0,1 private bath,3,9,1125.0,1125.0,121.0,1,6,12,147,10,31,3,2012-09-17,2025-06-15,2.79,4.78,4.85,4.69,4.96,4.94,4.84,4.76,f,t,2012-04-30,within an hour,1.0,1.0,t,t,1.0,3.0,0,1,0,STR-006162-2024,"[""Portable heater"", ""Outdoor furniture"", ""Dishes and silverware"", ""Private patio or balcony"", ""Iron"", ""Shower gel"", ""Mini fridge"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Ceiling fan"", ""Paid parking off premises"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Hangers"", ""Free street parking"", ""Fast wifi \u2013 432 Mbps"", ""Bed linens"", ""Essentials"", ""Coffee"", ""Smoke alarm"", ""Kitchen"", ""Microwave"", ""Outdoor dining area"", ""Lock on bedroom door"", ""First aid kit"", ""Hair dryer"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Smart lock"", ""Fire extinguisher"", ""Hot water kettle"", ""Conditioner"", ""Luggage dropoff allowed"", ""Mini fridge  refrigerator"", ""Laundromat nearby"", ""Single level home"", ""Window AC unit"", ""Hot water"", ""24 inch TV with Roku, Hulu, Disney+, Amazon Prime Video, Netflix, HBO Max"", ""Toaster"", ""Self check-in"", ""Central heating"", ""Carbon monoxide alarm"", ""Body soap"", ""Cleaning products""]","[0.933, 1.0)","[0.989, 1.0)","[1.0, 4.933)","[98.8, 133.2)","[1050.2, 1125.0)","[146.0, 170.333)","[7.733, 15.467)","[4.733, 5.0)","[4.733, 5.0)","[2.498, 2.913)"
810860,3530754,,Ward C (councilmember Richard Boggiano),40.72617,-74.06481,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1 bath,28,366,366.0,366.0,70.0,22,31,31,204,8,2,0,2019-03-30,2024-12-19,0.11,4.88,4.88,4.88,4.75,5.0,4.63,4.63,f,t,2012-09-10,within an hour,1.0,0.99,t,t,2.0,10.0,1,0,0,SL222222X2XX2XXXX2,"[""Keypad"", ""Room-darkening shades"", ""Dishes and silverware"", ""Freezer"", ""Conditioner"", ""Paid dryer \u2013 In building"", ""Hot water kettle"", ""Refrigerator"", ""Central air conditioning"", ""Kitchen"", ""Free street parking"", ""Dedicated workspace"", ""Backyard"", ""Blender"", ""Microwave"", ""Clothing storage"", ""Washer"", ""Pets allowed"", ""Hair dryer"", ""Body soap"", ""Iron"", ""Hangers"", ""Extra pillows and blankets"", ""Coffee maker"", ""Wine glasses"", ""Smoke alarm"", ""Cooking basics"", ""Central heating"", ""Carbon monoxide alarm"", ""Essentials"", ""Bed linens"", ""Cleaning products"", ""Hot water"", ""Oven"", ""Wifi"", ""Self check-in""]","[0.933, 1.0)","[0.989, 1.0)","[8.867, 12.8)","[64.4, 98.8)","[302.2, 377.0)","[194.667, 219.0)","[7.733, 15.467)","[4.733, 5.0)","[4.467, 4.733)","[0.01, 0.425)"
818075,4296829,,Ward C (councilmember Richard Boggiano),40.74086,-74.04921,Entire guest suite,Entire home/apt,3,1.0,2.0,2.0,1 bath,3,180,180.0,180.0,117.0,0,0,4,22,10,34,3,2013-02-10,2025-06-06,1.45,4.95,4.97,4.97,4.99,4.97,4.71,4.94,f,t,2012-12-01,within a few hours,1.0,0.99,t,t,1.0,1.0,1,0,0,STR-005916-2024,"[""Stove"", ""Shampoo"", ""Dishes and silverware"", ""Window AC unit"", ""Shower gel"", ""Freezer"", ""Baking sheet"", ""Conditioner"", ""Hot water kettle"", ""Refrigerator"", ""Clothing storage: closet and dresser"", ""Luggage dropoff allowed"", ""Children\u2019s books and toys"", ""Kitchen"", ""Private entrance"", ""Dedicated workspace"", ""Microwave"", ""City skyline view"", ""Babysitter recommendations"", ""Heating"", ""Long term stays allowed"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""Body soap"", ""Iron"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Hangers"", ""Extra pillows and blankets"", ""Coffee maker"", ""Board games"", ""Wine glasses"", ""Ceiling fan"", ""Smoke alarm"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Essentials"", ""HDTV with HBO Max, Netflix, standard cable"", ""Laundromat nearby"", ""Bed linens"", ""Portable fans"", ""Fire extinguisher"", ""Books and reading material"", ""Cleaning products"", ""Hot water"", ""Oven"", ""Wifi"", ""Standalone high chair"", ""Coffee""]","[0.933, 1.0)","[0.989, 1.0)","[1.0, 4.933)","[98.8, 133.2)","[152.6, 227.4)","[0.0, 24.333)","[7.733, 15.467)","[4.733, 5.0)","[4.733, 5.0)","[1.254, 1.669)"
938292,1450378,,Ward E (councilmember James Solomon),40.72371,-74.04931,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,1 bath,29,365,1125.0,1125.0,125.0,0,11,15,290,23,3,0,2016-07-29,2025-04-20,0.21,4.74,4.78,4.52,4.83,4.96,4.91,4.52,f,t,2011-11-28,within a few hours,1.0,0.83,t,t,3.0,8.0,3,0,0,SL222222X2XX2XXXX2,"[""Long term stays allowed"", ""TV with standard cable"", ""Oven"", ""Dishes and silverware"", ""Iron"", ""Shampoo"", ""Coffee maker"", ""Dishwasher"", ""Hangers"", ""Free street parking"", ""Essentials"", ""Bed linens"", ""Air conditioning"", ""Smoke alarm"", ""Kitchen"", ""Microwave"", ""Heating"", ""Hair dryer"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Smart lock"", ""Fire extinguisher"", ""Refrigerator"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Hot water"", ""Stove"", ""Exterior security cameras on property"", ""Pocket wifi"", ""Self check-in"", ""Carbon monoxide alarm"", ""Wifi""]","[0.933, 1.0)","[0.83, 0.841)","[4.933, 8.867)","[98.8, 133.2)","[1050.2, 1125.0)","[267.667, 292.0)","[15.467, 23.2)","[4.733, 5.0)","[4.467, 4.733)","[0.01, 0.425)"
